supplier_id,supplier_name,contact_email,phone,city,country,rating,lead_time_days,active
SUP-0001,Nexus Pvt Ltd,contact@nexuspvtltd.com,+91-7802442098,Mumbai,India,1.9,24,1
SUP-0002,Nexus Partners,contact@nexuspartners.com,+91-9869865302,Delhi,India,1.1,3,1
SUP-0003,Adani Partners,contact@adanipartners.com,+91-6173983563,Jaipur,India,1.8,21,0
SUP-0004,Elite Manufacturing,contact@elitemanufacturing.com,+91-9861846463,Ahmedabad,India,4.2,1,1
SUP-0005,Quantum Group,contact@quantumgroup.com,+91-7821030379,Kolkata,India,1.9,25,1
SUP-0006,Reliance Pvt Ltd,contact@reliancepvtltd.com,+91-6633857052,Pune,India,4.4,20,1
SUP-0007,Stellar Industries,contact@stellarindustries.com,+91-9010880284,Guangzhou,China,1.5,30,1
SUP-0008,Reliance Partners,contact@reliancepartners.com,+91-8370085674,Chennai,India,1.8,3,1
SUP-0009,Nexus Manufacturing,contact@nexusmanufacturing.com,+91-7896520458,Taipei,Taiwan,4.4,28,1
SUP-0010,Elite Solutions,contact@elitesolutions.com,+91-8390931319,Ahmedabad,India,2.5,7,1
SUP-0011,Quantum Pvt Ltd,contact@quantumpvtltd.com,+91-7121580010,Jaipur,India,3.9,6,1
SUP-0012,Vanguard Partners,contact@vanguardpartners.com,+91-8125217331,Hyderabad,India,1.9,2,1
SUP-0013,Reliance Manufacturing,contact@reliancemanufacturing.com,+91-9717051245,Hanoi,Vietnam,1.9,16,1
SUP-0014,Vanguard International,contact@vanguardinternational.com,+91-7735928301,Bangalore,India,2.0,18,0
SUP-0015,Bajaj Trading,contact@bajajtrading.com,+91-9824262350,Pune,India,2.4,5,0
SUP-0016,Alpha Pvt Ltd,contact@alphapvtltd.com,+91-6308724371,Taipei,Taiwan,1.6,6,1
SUP-0017,Delta Pvt Ltd,contact@deltapvtltd.com,+91-8500988104,Pune,India,5.0,17,1
SUP-0018,Omega Industries,contact@omegaindustries.com,+91-6750799353,Shenzhen,China,4.5,25,1
SUP-0019,Stellar Enterprises,contact@stellarenterprises.com,+91-7923466985,Delhi,India,1.6,1,1
SUP-0020,Omega Corp,contact@omegacorp.com,+91-6697391959,Surat,India,2.2,21,0
