order_id,product_id,customer_id,quantity,unit_price,total_amount,order_date,payment_method,warehouse_id,priority
ORD-00001,iPad Pro 12.9,CUST-0070,164,24.12,3955.68,2024-08-30,Credit Card,WH-INTL-02,High
ORD-00002,AirPods Pro Gen 2,CUST-0236,41,347.39,14242.99,2024-12-13,Purchase Order,WH-INTL-02,Critical
ORD-00003,MacBook Pro 14,CUST-0058,153,189.67,29019.51,2025-12-13,Cash on Delivery,WH-WEST-01,Critical
ORD-00004,Razer DeathAdder V3,CUST-0221,13,315.41,4100.33,2024-02-12,Credit Card,WH-WEST-01,Critical
ORD-00005,Apple iPhone 15,CUST-0165,127,467.88,59420.76,2024-12-23,Purchase Order,WH-CENTRAL-01,Medium
ORD-00006,Razer DeathAdder V3,CUST-0145,82,150.06,12304.92,2024-02-14,Purchase Order,WH-CENTRAL-02,Medium
ORD-00007,NZXT Kraken Elite,CUST-0288,24,70.93,1702.32,2025-06-10,Credit Card,WH-INTL-01,Critical
ORD-00008,AMD Ryzen 9 7950X,CUST-0146,162,181.69,29433.78,2024-12-22,Purchase Order,WH-CENTRAL-02,Critical
ORD-00009,Echo Dot 5th Gen,CUST-0190,41,434.81,17827.21,2025-02-19,Wire Transfer,WH-EAST-02,Critical
ORD-00010,Apple Watch Series 9,CUST-0209,127,35.64,4526.28,2025-09-23,Net 30,WH-EAST-01,Medium
ORD-00011,Logitech MX Master 3S,CUST-0072,27,407.32,10997.64,2025-02-22,Purchase Order,WH-INTL-01,Critical
ORD-00012,Sony WH-1000XM5,CUST-0079,115,15.14,1741.1,2024-02-01,Net 30,WH-SOUTH-01,Low
ORD-00013,Kindle Paperwhite,CUST-0188,51,183.13,9339.63,2024-05-14,Cash on Delivery,WH-CENTRAL-02,Low
ORD-00014,Apple iPhone 15,CUST-0003,96,477.9,45878.4,2024-03-13,Credit Card,WH-NORTH-01,Medium
ORD-00015,Kindle Paperwhite,CUST-0217,186,321.06,59717.16,2025-11-26,Net 30,WH-EAST-02,High
ORD-00016,Sony WH-1000XM5,CUST-0293,14,179.96,2519.44,2025-03-09,Credit Card,WH-CENTRAL-02,Medium
ORD-00017,AMD Ryzen 9 7950X,CUST-0126,66,158.09,10433.94,2024-07-02,Cash on Delivery,WH-CENTRAL-02,High
ORD-00018,Apple Watch Series 9,CUST-0193,146,140.02,20442.92,2025-03-28,Purchase Order,WH-CENTRAL-02,Medium
ORD-00019,Apple Watch Series 9,CUST-0240,175,407.71,71349.25,2024-04-09,Cash on Delivery,WH-EAST-01,High
ORD-00020,Asus ROG Zephyrus G14,CUST-0041,32,290.61,9299.52,2025-04-16,Cash on Delivery,WH-INTL-02,Critical
ORD-00021,MacBook Pro 14,CUST-0208,191,469.0,89579.0,2025-03-21,Cash on Delivery,WH-WEST-02,Critical
ORD-00022,Razer DeathAdder V3,CUST-0121,100,443.74,44374.0,2024-12-04,Wire Transfer,WH-CENTRAL-02,Critical
ORD-00023,Sony WH-1000XM5,CUST-0203,161,338.57,54509.77,2024-09-27,Cash on Delivery,WH-EAST-01,High
ORD-00024,DJI Mini 4 Pro,CUST-0125,120,34.1,4092.0,2025-12-04,Net 30,WH-NORTH-01,Low
ORD-00025,NZXT Kraken Elite,CUST-0052,68,129.74,8822.32,2025-07-09,Cash on Delivery,WH-WEST-01,Medium
ORD-00026,Corsair RM850x PSU,CUST-0124,155,186.34,28882.7,2024-01-27,Wire Transfer,WH-WEST-02,Medium
ORD-00027,Corsair RM850x PSU,CUST-0109,181,305.82,55353.42,2025-12-07,Wire Transfer,WH-WEST-02,Critical
ORD-00028,MacBook Pro 14,CUST-0288,67,29.56,1980.52,2024-10-23,Wire Transfer,WH-CENTRAL-02,Medium
ORD-00029,Nintendo Switch OLED,CUST-0236,102,468.04,47740.08,2024-06-16,Net 30,WH-INTL-02,Medium
ORD-00030,Samsung Galaxy S24,CUST-0122,43,225.26,9686.18,2024-09-21,Cash on Delivery,WH-WEST-01,Medium
ORD-00031,Secretlab Titan EVO,CUST-0070,87,329.34,28652.58,2025-07-01,Wire Transfer,WH-WEST-01,Low
ORD-00032,NZXT Kraken Elite,CUST-0034,25,133.17,3329.25,2025-08-12,Net 30,WH-INTL-02,Medium
ORD-00033,NVIDIA RTX 4090,CUST-0143,195,401.2,78234.0,2024-08-21,Purchase Order,WH-WEST-01,Medium
ORD-00034,Echo Dot 5th Gen,CUST-0269,127,333.32,42331.64,2024-10-31,Wire Transfer,WH-INTL-02,Low
ORD-00035,Google Pixel 8 Pro,CUST-0044,124,172.39,21376.36,2025-11-19,Purchase Order,WH-CENTRAL-01,High
ORD-00036,Samsung Galaxy S24,CUST-0227,100,38.21,3821.0,2024-05-09,Purchase Order,WH-SOUTH-01,Low
ORD-00037,Xbox Series X,CUST-0016,142,480.11,68175.62,2024-07-25,Credit Card,WH-SOUTH-01,High
ORD-00038,DJI Mini 4 Pro,CUST-0222,55,339.98,18698.9,2024-09-08,Wire Transfer,WH-WEST-01,Critical
ORD-00039,AMD Ryzen 9 7950X,CUST-0039,120,238.76,28651.2,2025-04-05,Net 30,WH-INTL-01,Low
ORD-00040,Asus ROG Zephyrus G14,CUST-0245,103,465.0,47895.0,2025-02-11,Credit Card,WH-NORTH-01,Low
ORD-00041,GoPro HERO12 Black,CUST-0194,143,187.14,26761.02,2024-07-31,Credit Card,WH-CENTRAL-02,High
ORD-00042,Elgato Stream Deck,CUST-0070,160,256.68,41068.8,2024-06-22,Purchase Order,WH-EAST-02,Low
ORD-00043,Elgato Stream Deck,CUST-0028,122,397.63,48510.86,2025-10-17,Wire Transfer,WH-NORTH-01,High
ORD-00044,Sony PlayStation 5,CUST-0243,173,327.52,56660.96,2024-01-19,Purchase Order,WH-INTL-01,Medium
ORD-00045,iPad Pro 12.9,CUST-0292,117,215.92,25262.64,2025-03-14,Credit Card,WH-SOUTH-01,Medium
ORD-00046,Keychron Q1 Pro,CUST-0098,11,130.1,1431.1,2024-01-15,Cash on Delivery,WH-CENTRAL-02,Critical
ORD-00047,Elgato Stream Deck,CUST-0294,106,367.17,38920.02,2024-09-25,Net 30,WH-CENTRAL-01,High
