inventory_id,product_id,product_name,category,warehouse_id,supplier_id,quantity_on_hand,reorder_point,unit_price,last_restock_date,stock_status
INV-00001,GoPro HERO12 Black,GoPro HERO12 Black,Safety Equipment,WH-EAST-01,SUP-0104,974,282,431.15,2025-05-23,In Stock
INV-00002,Samsung Odyssey G9,Samsung Odyssey G9,Electrical,WH-EAST-01,SUP-0094,3318,315,383.45,2025-01-20,In Stock
INV-00003,LG C3 OLED TV,LG C3 OLED TV,Electrical,WH-WEST-01,SUP-0058,1176,93,316.44,2024-12-01,In Stock
INV-00004,GoPro HERO12 Black,GoPro HERO12 Black,Packaging,WH-CENTRAL-02,SUP-0004,1304,94,389.76,2025-07-06,In Stock
INV-00005,iPad Pro 12.9,iPad Pro 12.9,Assemblies,WH-SOUTH-01,SUP-0146,859,401,79.42,2024-03-15,In Stock
INV-00006,Xbox Series X,Xbox Series X,Electrical,WH-CENTRAL-02,SUP-0146,1427,87,201.98,2025-04-12,In Stock
INV-00007,Razer DeathAdder V3,Razer DeathAdder V3,Assemblies,WH-WEST-02,SUP-0111,4867,70,313.6,2025-07-08,In Stock
INV-00008,Keychron Q1 Pro,Keychron Q1 Pro,Electronics,WH-WEST-01,SUP-0033,4478,494,446.63,2024-02-08,In Stock
INV-00009,NZXT Kraken Elite,NZXT Kraken Elite,Electronics,WH-INTL-02,SUP-0178,2710,458,366.17,2025-11-09,In Stock
INV-00010,Samsung 990 PRO NVMe,Samsung 990 PRO NVMe,Assemblies,WH-INTL-01,SUP-0075,4442,271,325.94,2024-11-01,In Stock
INV-00011,Elgato Stream Deck,Elgato Stream Deck,Mechanical,WH-EAST-02,SUP-0073,4961,222,176.66,2025-10-03,In Stock
INV-00012,LG C3 OLED TV,LG C3 OLED TV,Electronics,WH-NORTH-01,SUP-0024,4157,284,181.68,2024-07-02,In Stock
INV-00013,Samsung Odyssey G9,Samsung Odyssey G9,Safety Equipment,WH-SOUTH-01,SUP-0123,4456,255,102.01,2025-11-03,In Stock
INV-00014,MacBook Pro 14,MacBook Pro 14,Safety Equipment,WH-CENTRAL-01,SUP-0098,214,365,391.22,2025-09-20,Low Stock
INV-00015,Sony PlayStation 5,Sony PlayStation 5,Safety Equipment,WH-SOUTH-01,SUP-0139,3779,303,79.21,2025-09-30,In Stock
INV-00016,Echo Dot 5th Gen,Echo Dot 5th Gen,Safety Equipment,WH-WEST-01,SUP-0034,3575,308,163.46,2025-08-13,In Stock
INV-00017,Apple Watch Series 9,Apple Watch Series 9,Electronics,WH-INTL-01,SUP-0082,4046,433,342.37,2024-01-01,In Stock
INV-00018,Sony WH-1000XM5,Sony WH-1000XM5,Sensors,WH-CENTRAL-02,SUP-0014,1525,399,349.27,2024-01-31,In Stock
INV-00019,GoPro HERO12 Black,GoPro HERO12 Black,Packaging,WH-SOUTH-01,SUP-0187,2952,436,311.67,2025-12-03,In Stock
INV-00020,iPad Pro 12.9,iPad Pro 12.9,Electronics,WH-EAST-02,SUP-0043,4662,69,143.4,2025-07-08,In Stock
INV-00021,MacBook Pro 14,MacBook Pro 14,Raw Materials,WH-CENTRAL-01,SUP-0065,2806,486,95.37,2025-06-20,In Stock
INV-00022,Sony WH-1000XM5,Sony WH-1000XM5,Packaging,WH-WEST-02,SUP-0036,3773,353,179.74,2025-09-18,In Stock
INV-00023,Keychron Q1 Pro,Keychron Q1 Pro,Sensors,WH-WEST-01,SUP-0175,1521,376,268.69,2025-08-12,In Stock
INV-00024,NZXT Kraken Elite,NZXT Kraken Elite,Packaging,WH-WEST-02,SUP-0050,2205,454,275.36,2025-08-09,In Stock
INV-00025,Secretlab Titan EVO,Secretlab Titan EVO,Packaging,WH-WEST-01,SUP-0067,844,224,44.41,2025-11-27,In Stock
INV-00026,Secretlab Titan EVO,Secretlab Titan EVO,Raw Materials,WH-NORTH-01,SUP-0046,2685,145,457.41,2024-12-17,In Stock
INV-00027,Sony WH-1000XM5,Sony WH-1000XM5,Electrical,WH-SOUTH-01,SUP-0151,1373,344,114.72,2025-12-12,In Stock
INV-00028,Samsung Odyssey G9,Samsung Odyssey G9,Raw Materials,WH-EAST-02,SUP-0058,2812,321,430.92,2025-05-31,In Stock
INV-00029,Nintendo Switch OLED,Nintendo Switch OLED,Packaging,WH-CENTRAL-02,SUP-0094,4586,413,17.7,2025-10-23,In Stock
INV-00030,Google Pixel 8 Pro,Google Pixel 8 Pro,Packaging,WH-INTL-01,SUP-0084,4251,184,12.74,2024-11-24,In Stock
INV-00031,Razer DeathAdder V3,Razer DeathAdder V3,Assemblies,WH-CENTRAL-01,SUP-0058,3995,445,8.76,2024-11-09,In Stock
INV-00032,DJI Mini 4 Pro,DJI Mini 4 Pro,Mechanical,WH-EAST-02,SUP-0124,982,499,301.51,2024-06-17,In Stock
INV-00033,Samsung Galaxy S24,Samsung Galaxy S24,Raw Materials,WH-INTL-02,SUP-0061,1631,317,138.22,2024-02-08,In Stock
INV-00034,Sony PlayStation 5,Sony PlayStation 5,Packaging,WH-CENTRAL-01,SUP-0023,2983,157,166.0,2025-04-09,In Stock
INV-00035,Nintendo Switch OLED,Nintendo Switch OLED,Raw Materials,WH-WEST-02,SUP-0028,2676,473,112.21,2024-06-26,In Stock
INV-00036,AMD Ryzen 9 7950X,AMD Ryzen 9 7950X,Packaging,WH-NORTH-01,SUP-0187,1756,468,423.71,2025-06-21,In Stock
INV-00037,Nintendo Switch OLED,Nintendo Switch OLED,Packaging,WH-NORTH-01,SUP-0082,1950,458,27.67,2025-09-27,In Stock
INV-00038,Logitech MX Master 3S,Logitech MX Master 3S,Mechanical,WH-CENTRAL-01,SUP-0198,1226,406,397.26,2024-02-06,In Stock
INV-00039,Razer DeathAdder V3,Razer DeathAdder V3,Safety Equipment,WH-SOUTH-01,SUP-0158,2898,140,266.96,2024-05-04,In Stock
INV-00040,Bose QuietComfort Ultra,Bose QuietComfort Ultra,Safety Equipment,WH-INTL-01,SUP-0016,4847,318,304.51,2024-05-14,In Stock
INV-00041,Razer DeathAdder V3,Razer DeathAdder V3,Assemblies,WH-CENTRAL-02,SUP-0034,3915,53,121.33,2025-06-10,In Stock
INV-00042,Xbox Series X,Xbox Series X,Raw Materials,WH-SOUTH-01,SUP-0042,4569,488,445.64,2024-12-04,In Stock
INV-00043,LG C3 OLED TV,LG C3 OLED TV,Electronics,WH-CENTRAL-02,SUP-0198,3507,263,293.87,2025-03-01,In Stock
INV-00044,Corsair RM850x PSU,Corsair RM850x PSU,Safety Equipment,WH-CENTRAL-01,SUP-0077,3684,325,431.98,2024-05-21,In Stock
INV-00045,Google Pixel 8 Pro,Google Pixel 8 Pro,Raw Materials,WH-CENTRAL-01,SUP-0139,2767,311,317.93,2025-08-25,In Stock
