shipment_id,order_id,supplier_id,ship_date,estimated_delivery,actual_delivery,delivery_status,delivery_delay_days,carrier,shipping_cost
SHP-00001,ORD-00050,SUP-0009,2024-07-23,2024-08-04,,In Transit,,Xpressbees,158.45
SHP-00002,ORD-00762,SUP-0040,2025-03-22,2025-04-06,2025-04-08,Delivered,2,Xpressbees,156.73
SHP-00003,ORD-00111,SUP-0053,2024-05-07,2024-05-11,,Pending,,DTDC,228.46
SHP-00004,ORD-00078,SUP-0169,2024-05-13,2024-05-24,,Cancelled,,Shadowfax,103.54
SHP-00005,ORD-00402,SUP-0063,2024-08-12,2024-08-23,2024-08-22,Delivered,-1,Ecom Express,213.17
SHP-00006,ORD-00819,SUP-0063,2024-12-27,2024-12-29,,Pending,,Delhivery,112.84
SHP-00007,ORD-01317,SUP-0071,2025-08-30,2025-09-13,2025-09-15,Delivered,2,DTDC,199.74
SHP-00008,ORD-00124,SUP-0042,2024-07-03,2024-07-08,,Delayed,,Delhivery,33.78
SHP-00009,ORD-01287,SUP-0024,2025-09-15,2025-09-20,,Pending,,Shadowfax,244.22
SHP-00010,ORD-00669,SUP-0052,2024-01-05,2024-01-11,2024-01-10,Delivered,-1,Delhivery,167.75
SHP-00011,ORD-01089,SUP-0133,2024-05-23,2024-06-06,2024-06-09,Delivered,3,BlueDart,202.9
SHP-00012,ORD-00114,SUP-0032,2024-11-04,2024-11-19,,Cancelled,,DTDC,174.81
SHP-00013,ORD-01161,SUP-0136,2024-08-31,2024-09-07,2024-09-08,Delivered,1,Ecom Express,178.66
SHP-00014,ORD-00446,SUP-0194,2025-06-12,2025-06-21,,Pending,,DTDC,123.93
SHP-00015,ORD-00916,SUP-0135,2024-07-28,2024-08-11,,Cancelled,,Safexpress,41.84
SHP-00016,ORD-01468,SUP-0135,2024-12-03,2024-12-08,,Pending,,DTDC,30.72
SHP-00017,ORD-00174,SUP-0038,2025-07-02,2025-07-11,,In Transit,,DTDC,171.23
SHP-00018,ORD-01056,SUP-0034,2024-05-21,2024-05-27,,Delayed,,Shadowfax,91.98
SHP-00019,ORD-00202,SUP-0093,2025-05-31,2025-06-04,,Pending,,Ecom Express,163.4
SHP-00020,ORD-01405,SUP-0135,2025-03-04,2025-03-18,,Cancelled,,Safexpress,182.34
SHP-00021,ORD-00690,SUP-0063,2024-12-12,2024-12-14,,Cancelled,,Delhivery,234.53
SHP-00022,ORD-00254,SUP-0187,2025-08-11,2025-08-24,,Delayed,,DTDC,208.49
SHP-00023,ORD-00673,SUP-0129,2024-11-06,2024-11-19,,Pending,,Xpressbees,99.98
SHP-00024,ORD-01383,SUP-0132,2024-12-12,2024-12-27,2024-12-28,Delivered,1,Shadowfax,74.02
SHP-00025,ORD-00236,SUP-0008,2025-12-31,2026-01-13,,Pending,,Shadowfax,145.17
SHP-00026,ORD-01341,SUP-0183,2024-09-18,2024-09-26,,Pending,,Ecom Express,15.06
SHP-00027,ORD-00681,SUP-0106,2024-01-28,2024-02-12,,Delayed,,Shadowfax,232.92
SHP-00028,ORD-00710,SUP-0199,2024-12-26,2025-01-08,,Cancelled,,BlueDart,95.23
SHP-00029,ORD-00682,SUP-0016,2025-06-04,2025-06-07,,Cancelled,,Shadowfax,190.37
SHP-00030,ORD-00275,SUP-0113,2025-11-10,2025-11-19,,In Transit,,DTDC,85.79
SHP-00031,ORD-00916,SUP-0070,2025-04-07,2025-04-16,,Delayed,,Ecom Express,145.73
